Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
HAc,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHacCtcfUniPk,std
HBMEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHbmecCtcfUniPk,std
HCFaa,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcfaaCtcfUniPk,std
HCM,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcmCtcfUniPk,std
HCPEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHcpeCtcfUniPk,std
HCT+AC0-116,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHct116CtcfUniPk,std
HEEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHeeCtcfUniPk,std
HEK293,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHek293CtcfUniPk,std
HeLa+AC0-S3,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHelas3CtcfUniPk,std
HeLa+AC0-S3,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHelas3CtcfUniPk,NA
HeLa+AC0-S3,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,std
HepG2,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHepg2CtcfUniPk,NA
HepG2,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk,NA
HepG2,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHepg2CtcfUniPk,std
HepG2,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHepg2CtcfUniPk,std
HFF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHffCtcfUniPk,std
HFF+AC0-Myc,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHffmycCtcfUniPk,std
HMEC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHmecCtcfUniPk,std
HMEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHmecCtcfUniPk,std
HMF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHmfCtcfUniPk,std
HPAF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHpafCtcfUniPk,std
HPF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHpfCtcfUniPk,std
HRE,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHreCtcfUniPk,std
HRPEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHrpeCtcfUniPk,std
HSMM,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmCtcfUniPk,std
HSMMtube,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmtCtcfUniPk,std
HUVEC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHuvecCtcfUniPk,std
HUVEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHuvecCtcfUniPk,std
HUVEC,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHuvecCtcfUniPk,NA
HVMF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHvmfCtcfUniPk,std
IMR90,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk,IgG+AC0-rab
K562,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,NA
K562,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwK562CtcfUniPk,std
K562,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,IgG+AC0-rab
K562,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562CtcfUniPk,std
K562,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaK562CtcfUniPk,NA
MCF+AC0-7,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwMcf7CtcfUniPk,std
MCF+AC0-7,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaMcf7CtcfUniPk,NA
NB4,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNb4CtcfUniPk,std
NH+AC0-A,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhaCtcfUniPk,std
NHDF+AC0-Ad,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhdfadCtcfUniPk,std
NHDF+AC0-neo,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhdfneoCtcfUniPk,std
NHEK,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhekCtcfUniPk,std
NHEK,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhekCtcfUniPk,std
NHEK,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaNhekCtcfUniPk,NA
NHLF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhlfCtcfUniPk,std
NHLF,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhlfCtcfUniPk,std
Osteoblasts,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,std
ProgFib,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaProgfibCtcfUniPk,NA
RPTEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwRptecCtcfUniPk,std
SAEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwSaecCtcfUniPk,std
SK+AC0-N+AC0-SH (Retinoic Acid),CTCF,HudsonAlpha,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk,NA
SK+AC0-N+AC0-SH (Retinoic Acid),CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwSknshraCtcfUniPk,std
WERI+AC0-Rb+AC0-1,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwWerirb1CtcfUniPk,std
WI+AC0-38,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwWi38CtcfUniPk,std
K562,CTCFL,HudsonAlpha,None,CTCFL+AF8-(SC+AC0-98982),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,NA
HeLa+AC0-S3,E2F1,USC,None,E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f1UniPk,std
HeLa+AC0-S3,E2F1,USC,None,HA+AC0-E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk,std
MCF+AC0-7,E2F1,USC,None,HA+AC0-E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,UCDavis
GM12878,E2F4,Stanford,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,IgG+AC0-mus
HeLa+AC0-S3,E2F4,USC,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f4UniPk,std
K562,E2F4,USC,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,UCDavis
HeLa+AC0-S3,E2F6,USC,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f6UniPk,std
K562,E2F6,HudsonAlpha,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,NA
K562,E2F6,USC,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,UCDavis
GM12878,EBF1,HudsonAlpha,None,EBF1+AF8-(SC+AC0-137065),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk,NA
GM12878,EBF1,Stanford,None,EBF1+AF8-(SC+AC0-137065),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk,std
GM12878,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk,NA
H1+AC0-hESC,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk,NA
K562,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,NA
GM12878,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk,NA
HepG2,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk,NA
K562,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,NA
