TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
CTCF_GM12874_CTCF_UW,GM12874,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12874CtcfUniPk,std,CTCF_GM12874_CTCF_UW,0.996657,0.993109,0.9405,0.967684
CTCF_GM12875_CTCF_UW,GM12875,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12875CtcfUniPk,std,CTCF_GM12875_CTCF_UW,0.997775,0.993394,0.938356,0.970204
CTCF_GM12878_CTCF_(SC_15914)_Stanford,GM12878,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk,std,CTCF_GM12878_CTCF_(SC-15914)_Stanford,0.994241,0.990388,0.96362,0.96842
CTCF_GM12878_CTCF_Broad,GM12878,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,std,CTCF_GM12878_CTCF_Broad,0.990863,0.987575,0.931188,0.969524
CTCF_GM12878_CTCF_UT_A,GM12878,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12878CtcfUniPk,NA,CTCF_GM12878_CTCF_UT-A,0.997575,0.993321,0.958744,0.967512
CTCF_GM12878_CTCF_UW,GM12878,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12878CtcfUniPk,std,CTCF_GM12878_CTCF_UW,0.997617,0.995882,0.880296,0.965428
CTCF_GM12891_CTCF_UT_A,GM12891,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12891CtcfUniPk,NA,CTCF_GM12891_CTCF_UT-A,0.996549,0.995721,0.9586,0.980248
CTCF_GM12892_CTCF_UT_A,GM12892,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12892CtcfUniPk,NA,CTCF_GM12892_CTCF_UT-A,0.995814,0.993742,0.961468,0.961444
CTCF_GM19238_CTCF_UT_A,GM19238,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19238CtcfUniPk,NA,CTCF_GM19238_CTCF_UT-A,0.997848,0.993821,0.969384,0.980668
CTCF_GM19239_CTCF_UT_A,GM19239,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19239CtcfUniPk,NA,CTCF_GM19239_CTCF_UT-A,0.994564,0.98523,0.971384,0.971508
CTCF_GM19240_CTCF_UT_A,GM19240,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19240CtcfUniPk,NA,CTCF_GM19240_CTCF_UT-A,0.997413,0.995299,0.956468,0.974836
