TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
GABPA_H1_hESC_GABP_HudsonAlpha,H1+AC0-hESC,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk,NA,GABPA_H1-hESC_GABP_HudsonAlpha,0.970866,0.977073,0.958824,0.960568
GABPA_HeLa_S3_GABP_HudsonAlpha,HeLa+AC0-S3,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,NA,GABPA_HeLa-S3_GABP_HudsonAlpha,0.97627,0.963033,0.965056,0.965564
GABPA_HepG2_GABP_HudsonAlpha,HepG2,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk,NA,GABPA_HepG2_GABP_HudsonAlpha,0.971916,0.97237,0.949176,0.955168
GABPA_K562_GABP_HudsonAlpha,K562,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,NA,GABPA_K562_GABP_HudsonAlpha,0.97111,0.970845,0.962472,0.962516
GATA1_K562_GATA_1_USC,K562,GATA1,USC,None,GATA+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,UCDavis,GATA1_K562_GATA-1_USC,0.959641,0.954413,0.829816,0.940504
GATA1_PBDE_GATA_1_USC,PBDE,GATA1,USC,None,GATA+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk,UCDavis,GATA1_PBDE_GATA-1_USC,0.956259,0.954104,0.93742,0.934804
GATA2_HUVEC_GATA_2_USC,HUVEC,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk,UCDavis,GATA2_HUVEC_GATA-2_USC,0.946156,0.920969,0.885912,0.83164
GATA2_K562_GATA2_(SC_267)_HudsonAlpha,K562,GATA2,HudsonAlpha,None,GATA2+AF8-(SC+AC0-267),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk,NA,GATA2_K562_GATA2_(SC-267)_HudsonAlpha,0.976956,0.963484,0.878412,0.957064
GATA2_K562_GATA_2_USC,K562,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,UCDavis,GATA2_K562_GATA-2_USC,0.972547,0.957253,0.866288,0.888312
GATA2_K562_eGFP_GATA2_UChicago,K562,GATA2,UChicago,None,eGFP+AC0-GATA2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562Egata2UniPk,Control+AF8-eGFP+AC0-GATA2,GATA2_K562_eGFP-GATA2_UChicago,0.936794,0.929534,0.941264,0.949524
GATA2_SH_SY5Y_GATA_2_USC,SH+AC0-SY5Y,GATA2,USC,None,GATA+AC0-2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk,UCDavis,GATA2_SH-SY5Y_GATA-2_USC,0.947397,0.918517,0.861652,0.881592
GATA3_MCF_7_GATA3_(SC_268)_USC,MCF+AC0-7,GATA3,USC,None,GATA3+AF8-(SC+AC0-268),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk,UCDavis,GATA3_MCF-7_GATA3_(SC-268)_USC,0.803657,0.752114,0.706472,0.5928
GATA3_MCF_7_GATA3_(SC_269)_USC,MCF+AC0-7,GATA3,USC,None,GATA3+AF8-(SC+AC0-269),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk,UCDavis,GATA3_MCF-7_GATA3_(SC-269)_USC,0.89395,0.78087,0.757896,0.7464
GATA3_SH_SY5Y_GATA3_(SC_269)_USC,SH+AC0-SY5Y,GATA3,USC,None,GATA3+AF8-(SC+AC0-269),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,UCDavis,GATA3_SH-SY5Y_GATA3_(SC-269)_USC,0.930955,0.884495,0.814944,0.864016
GTF2B_K562_GTF2B_Harvard,K562,GTF2B,Harvard,None,GTF2B,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Gtf2bUniPk,std,GTF2B_K562_GTF2B_Harvard,0.75183,0.66407,0.616728,0.566512
GTF2F1_H1_hESC_GTF2F1_(AB28179)_Stanford,H1+AC0-hESC,GTF2F1,Stanford,None,GTF2F1+AF8-(AB28179),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk,IgG+AC0-rab,GTF2F1_H1-hESC_GTF2F1_(AB28179)_Stanford,0.780741,0.725311,0.698896,0.573192
GTF2F1_HeLa_S3_GTF2F1_(AB28179)_Stanford,HeLa+AC0-S3,GTF2F1,Stanford,None,GTF2F1+AF8-(AB28179),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk,IgG+AC0-rab,GTF2F1_HeLa-S3_GTF2F1_(AB28179)_Stanford,0.771197,0.623411,0.61294,0.519496
HDAC1_K562_HDAC1_(SC_6298)_Broad,K562,HDAC1,Broad,None,HDAC1+AF8-(SC+AC0-6298),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk,std,HDAC1_K562_HDAC1_(SC-6298)_Broad,0.71932,0.653486,0.5962,0.565312
HDAC2_H1_hESC_HDAC2_(SC_6296)_HudsonAlpha,H1+AC0-hESC,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk,NA,HDAC2_H1-hESC_HDAC2_(SC-6296)_HudsonAlpha,0.839816,0.716167,0.655152,0.546608
HDAC2_HepG2_HDAC2_(SC_6296)_HudsonAlpha,HepG2,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk,NA,HDAC2_HepG2_HDAC2_(SC-6296)_HudsonAlpha,0.935723,0.85736,0.84704,0.756568
HDAC2_K562_HDAC2_(A300_705A)_Broad,K562,HDAC2,Broad,None,HDAC2+AF8-(A300+AC0-705A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,std,HDAC2_K562_HDAC2_(A300-705A)_Broad,0.780044,0.725643,0.668556,0.561336
HDAC2_K562_HDAC2_(SC_6296)_HudsonAlpha,K562,HDAC2,HudsonAlpha,None,HDAC2+AF8-(SC+AC0-6296),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk,NA,HDAC2_K562_HDAC2_(SC-6296)_HudsonAlpha,0.931398,0.86109,0.849976,0.725816
HDAC6_K562_HDAC6_(A301_341A)_Broad,K562,HDAC6,Broad,None,HDAC6+AF8-(A301+AC0-341A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk,std,HDAC6_K562_HDAC6_(A301-341A)_Broad,0.625716,0.600455,0.545616,0.513644
HMGN3_K562_HMGN3_Harvard,K562,HMGN3,Harvard,None,HMGN3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Hmgn3UniPk,std,HMGN3_K562_HMGN3_Harvard,0.857164,0.671105,0.779976,0.605248
HNF4A_HepG2_HNF4A_(SC_8987)_HudsonAlpha,HepG2,HNF4A,HudsonAlpha,None,HNF4A+AF8-(SC+AC0-8987),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hnf4asc8987V0416101UniPk,NA,HNF4A_HepG2_HNF4A_(SC-8987)_HudsonAlpha,0.986104,0.958516,0.868464,0.950204
HNF4G_HepG2_HNF4G_(SC_6558)_HudsonAlpha,HepG2,HNF4G,HudsonAlpha,None,HNF4G+AF8-(SC+AC0-6558),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Hnf4gsc6558V0416101UniPk,NA,HNF4G_HepG2_HNF4G_(SC-6558)_HudsonAlpha,0.974889,0.95248,0.914836,0.931184
IKZF1_GM12878_IKZF1_(IkN)_(UCLA)_USC,GM12878,IKZF1,USC,None,IKZF1+AF8-(IkN)+AF8-(UCLA),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk,std,IKZF1_GM12878_IKZF1_(IkN)_(UCLA)_USC,0.801121,0.698406,0.684296,0.632
IRF3_HeLa_S3_IRF3_Stanford,HeLa+AC0-S3,IRF3,Stanford,None,IRF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk,IgG+AC0-rab,IRF3_HeLa-S3_IRF3_Stanford,0.959195,0.958654,0.932228,0.93458
IRF4_GM12878_IRF4_(SC_6059)_HudsonAlpha,GM12878,IRF4,HudsonAlpha,None,IRF4+AF8-(SC+AC0-6059),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk,NA,IRF4_GM12878_IRF4_(SC-6059)_HudsonAlpha,0.972363,0.954813,0.874376,0.740604
JUNB_K562_eGFP_JunB_UChicago,K562,JUNB,UChicago,None,eGFP+AC0-JunB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EjunbUniPk,Control+AF8-eGFP+AC0-JunB,JUNB_K562_eGFP-JunB_UChicago,0.980101,0.96389,0.893392,0.678948
JUND_H1_hESC_JunD_HudsonAlpha,H1+AC0-hESC,JUND,HudsonAlpha,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk,NA,JUND_H1-hESC_JunD_HudsonAlpha,0.893522,0.91101,0.924608,0.90778
JUND_H1_hESC_JunD_Stanford,H1+AC0-hESC,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk,IgG+AC0-rab,JUND_H1-hESC_JunD_Stanford,0.932668,0.891834,0.952508,0.93592
JUND_HeLa_S3_JunD_Stanford,HeLa+AC0-S3,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk,IgG+AC0-rab,JUND_HeLa-S3_JunD_Stanford,0.994519,0.989534,0.965956,0.922396
JUND_HepG2_JunD_HudsonAlpha,HepG2,JUND,HudsonAlpha,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk,NA,JUND_HepG2_JunD_HudsonAlpha,0.984573,0.951503,0.962764,0.87012
JUND_HepG2_JunD_Stanford,HepG2,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2JundIggrabUniPk,IgG+AC0-rab,JUND_HepG2_JunD_Stanford,0.992255,0.990762,0.959988,0.947588
JUND_K562_JunD_Stanford,K562,JUND,Stanford,None,JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,IgG+AC0-rab,JUND_K562_JunD_Stanford,0.978895,0.960415,0.872364,0.66194
JUND_K562_eGFP_JunD_UChicago,K562,JUND,UChicago,None,eGFP+AC0-JunD,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EjundUniPk,Control+AF8-eGFP+AC0-JunD,JUND_K562_eGFP-JunD_UChicago,0.993789,0.984462,0.856196,0.836972
JUN_H1_hESC_c_Jun_Stanford,H1+AC0-hESC,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk,IgG+AC0-rab,JUN_H1-hESC_c-Jun_Stanford,0.87622,0.905237,0.98724,0.985732
JUN_HUVEC_c_Jun_Stanford,HUVEC,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecCjunUniPk,std,JUN_HUVEC_c-Jun_Stanford,0.989007,0.953039,0.9507,0.937248
JUN_HeLa_S3_c_Jun_Stanford,HeLa+AC0-S3,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk,IgG+AC0-rab,JUN_HeLa-S3_c-Jun_Stanford,0.981153,0.946671,0.969748,0.958236
JUN_HepG2_c_Jun_Stanford,HepG2,JUN,Stanford,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk,IgG+AC0-rab,JUN_HepG2_c-Jun_Stanford,0.987637,0.964988,0.980344,0.896828
JUN_K562_c_Jun_Yale,K562,JUN,Yale,None,c+AC0-Jun,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CjunUniPk,std,JUN_K562_c-Jun_Yale,0.983811,0.974358,0.95146,0.870648
KAP1_HEK293_KAP1_USC,HEK293,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk,UCDavis,KAP1_HEK293_KAP1_USC,0.767246,0.744499,0.59088,0.569612
KAP1_K562_KAP1_USC,K562,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,UCDavis,KAP1_K562_KAP1_USC,0.912374,0.858442,0.760912,0.629824
KAP1_U2OS_KAP1_USC,U2OS,KAP1,USC,None,KAP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhU2osKap1UcdUniPk,UCDavis,KAP1_U2OS_KAP1_USC,0.813887,0.640421,0.616788,0.55026
KDM5A_H1_hESC_JARID1A_(ab26049)_Broad,H1+AC0-hESC,KDM5A,Broad,None,JARID1A+AF8-(ab26049),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,std,KDM5A_H1-hESC_JARID1A_(ab26049)_Broad,0.801163,0.734495,0.780912,0.698384
KDM5B_K562_PLU1_Broad,K562,KDM5B,Broad,None,PLU1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Plu1UniPk,std,KDM5B_K562_PLU1_Broad,0.814912,0.670615,0.648596,0.593564
MAFF_HepG2_MafF_(M8194)_Stanford,HepG2,MAFF,Stanford,None,MafF+AF8-(M8194),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Maffm8194IggrabUniPk,IgG+AC0-rab,MAFF_HepG2_MafF_(M8194)_Stanford,0.998622,0.997586,0.977088,0.982052
MAFF_K562_MafF_(M8194)_Stanford,K562,MAFF,Stanford,None,MafF+AF8-(M8194),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,IgG+AC0-rab,MAFF_K562_MafF_(M8194)_Stanford,0.998231,0.989779,0.94804,0.981176
MAFK_H1_hESC_MafK_(ab50322)_Stanford,H1+AC0-hESC,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk,IgG+AC0-rab,MAFK_H1-hESC_MafK_(ab50322)_Stanford,0.992995,0.990283,0.964228,0.960512
MAFK_HeLa_S3_MafK_(ab50322)_Stanford,HeLa+AC0-S3,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk,IgG+AC0-rab,MAFK_HeLa-S3_MafK_(ab50322)_Stanford,0.997056,0.986475,0.95928,0.961804
MAFK_HepG2_MafK_(SC_477)_Stanford,HepG2,MAFK,Stanford,None,MafK+AF8-(SC+AC0-477),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk,IgG+AC0-rab,MAFK_HepG2_MafK_(SC-477)_Stanford,0.999332,0.986609,0.977512,0.993776
MAFK_HepG2_MafK_(ab50322)_Stanford,HepG2,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk,IgG+AC0-rab,MAFK_HepG2_MafK_(ab50322)_Stanford,0.999898,0.997169,0.976596,0.979156
MAFK_IMR90_MafK_(ab50322)_Stanford,IMR90,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk,IgG+AC0-rab,MAFK_IMR90_MafK_(ab50322)_Stanford,0.999816,0.997565,0.98518,0.98924
MAFK_K562_MafK_(ab50322)_Stanford,K562,MAFK,Stanford,None,MafK+AF8-(ab50322),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,IgG+AC0-rab,MAFK_K562_MafK_(ab50322)_Stanford,0.999482,0.997886,0.96466,0.947904
MAX_A549_Max_Stanford,A549,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549MaxIggrabUniPk,IgG+AC0-rab,MAX_A549_Max_Stanford,0.94543,0.917356,0.915676,0.919808
MAX_GM12878_Max_Stanford,GM12878,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk,IgG+AC0-mus,MAX_GM12878_Max_Stanford,0.933376,0.868593,0.891384,0.869236
MAX_H1_hESC_Max_USC,H1+AC0-hESC,MAX,USC,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk,UCDavis,MAX_H1-hESC_Max_USC,0.927849,0.893046,0.90146,0.876592
MAX_HUVEC_Max_Stanford,HUVEC,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecMaxUniPk,std,MAX_HUVEC_Max_Stanford,0.983218,0.96384,0.891616,0.893052
MAX_HeLa_S3_Max_Stanford,HeLa+AC0-S3,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk,IgG+AC0-rab,MAX_HeLa-S3_Max_Stanford,0.941828,0.902885,0.932472,0.952572
MAX_HepG2_Max_Stanford,HepG2,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,IgG+AC0-rab,MAX_HepG2_Max_Stanford,0.969319,0.960718,0.967048,0.970812
MAX_K562_Max_HudsonAlpha,K562,MAX,HudsonAlpha,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,NA,MAX_K562_Max_HudsonAlpha,0.943086,0.904422,0.920756,0.914784
MAX_K562_Max_Stanford,K562,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,IgG+AC0-rab,MAX_K562_Max_Stanford,0.940026,0.915887,0.926516,0.928972
MAX_NB4_Max_Stanford,NB4,MAX,Stanford,None,Max,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhNb4MaxUniPk,std,MAX_NB4_Max_Stanford,0.982862,0.974793,0.978848,0.977032
MAZ_GM12878_MAZ_(ab85725)_Stanford,GM12878,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk,IgG+AC0-mus,MAZ_GM12878_MAZ_(ab85725)_Stanford,0.875183,0.828873,0.813168,0.781104
MAZ_HeLa_S3_MAZ_(ab85725)_Stanford,HeLa+AC0-S3,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk,IgG+AC0-rab,MAZ_HeLa-S3_MAZ_(ab85725)_Stanford,0.885158,0.767201,0.806396,0.641252
MAZ_HepG2_MAZ_(ab85725)_Stanford,HepG2,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk,IgG+AC0-rab,MAZ_HepG2_MAZ_(ab85725)_Stanford,0.881579,0.801073,0.786916,0.781336
MAZ_K562_MAZ_(ab85725)_Stanford,K562,MAZ,Stanford,None,MAZ+AF8-(ab85725),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk,IgG+AC0-rab,MAZ_K562_MAZ_(ab85725)_Stanford,0.921701,0.820074,0.814748,0.76766
MEF2A_GM12878_MEF2A_HudsonAlpha,GM12878,MEF2A,HudsonAlpha,None,MEF2A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,NA,MEF2A_GM12878_MEF2A_HudsonAlpha,0.977872,0.91607,0.898784,0.9046
MEF2A_K562_MEF2A_HudsonAlpha,K562,MEF2A,HudsonAlpha,None,MEF2A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,NA,MEF2A_K562_MEF2A_HudsonAlpha,0.971229,0.93773,0.90556,0.911544
MEF2C_GM12878_MEF2C_(SC_13268)_HudsonAlpha,GM12878,MEF2C,HudsonAlpha,None,MEF2C+AF8-(SC+AC0-13268),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,NA,MEF2C_GM12878_MEF2C_(SC-13268)_HudsonAlpha,0.975017,0.924915,0.931052,0.907812
MTA3_GM12878_MTA3_(SC_81325)_HudsonAlpha,GM12878,MTA3,HudsonAlpha,None,MTA3+AF8-(SC+AC0-81325),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk,NA,MTA3_GM12878_MTA3_(SC-81325)_HudsonAlpha,0.894317,0.699821,0.7832,0.663604
MXI1_GM12878_Mxi1_(AF4185)_Stanford,GM12878,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk,IgG+AC0-mus,MXI1_GM12878_Mxi1_(AF4185)_Stanford,0.872576,0.815009,0.808332,0.658904
MXI1_H1_hESC_Mxi1_(AF4185)_Stanford,H1+AC0-hESC,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk,IgG+AC0-rab,MXI1_H1-hESC_Mxi1_(AF4185)_Stanford,0.872907,0.869988,0.85228,0.511016
MXI1_HeLa_S3_Mxi1_(AF4185)_Stanford,HeLa+AC0-S3,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk,IgG+AC0-rab,MXI1_HeLa-S3_Mxi1_(AF4185)_Stanford,0.913549,0.854766,0.871848,0.784048
MXI1_HepG2_Mxi1_(AF4185)_Stanford,HepG2,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Mxi1UniPk,std,MXI1_HepG2_Mxi1_(AF4185)_Stanford,0.890912,0.863196,0.832204,0.596888
MXI1_K562_Mxi1_(AF4185)_Stanford,K562,MXI1,Stanford,None,Mxi1+AF8-(AF4185),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,IgG+AC0-rab,MXI1_K562_Mxi1_(AF4185)_Stanford,0.932365,0.873828,0.867128,0.735172
MYBL2_HepG2_MYBL2_(SC_81192)_HudsonAlpha,HepG2,MYBL2,HudsonAlpha,None,MYBL2+AF8-(SC+AC0-81192),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk,NA,MYBL2_HepG2_MYBL2_(SC-81192)_HudsonAlpha,0.783419,0.718886,0.704068,0.575096
MYC_H1_hESC_c_Myc_Stanford,H1+AC0-hESC,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk,IgG+AC0-rab,MYC_H1-hESC_c-Myc_Stanford,0.93007,0.855092,0.843132,0.829632
MYC_HUVEC_c_Myc_UT_A,HUVEC,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHuvecCmycUniPk,NA,MYC_HUVEC_c-Myc_UT-A,0.939667,0.884985,0.869676,0.858216
MYC_HeLa_S3_c_Myc_UT_A,HeLa+AC0-S3,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHelas3CmycUniPk,NA,MYC_HeLa-S3_c-Myc_UT-A,0.889825,0.849336,0.8787,0.858452
MYC_HeLa_S3_c_Myc_Yale,HeLa+AC0-S3,MYC,Yale,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CmycUniPk,std,MYC_HeLa-S3_c-Myc_Yale,0.923945,0.867699,0.88278,0.85338
MYC_K562_c_Myc_Stanford,K562,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,IgG+AC0-rab,MYC_K562_c-Myc_Stanford,0.884483,0.867744,0.875192,0.826008
MYC_K562_c_Myc_UT_A,K562,MYC,UT+AC0-A,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaK562CmycUniPk,NA,MYC_K562_c-Myc_UT-A,0.937485,0.887999,0.893248,0.880176
MYC_NB4_c_Myc_Stanford,NB4,MYC,Stanford,None,c+AC0-Myc,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhNb4CmycUniPk,std,MYC_NB4_c-Myc_Stanford,0.931462,0.89671,0.903032,0.903104
NANOG_H1_hESC_NANOG_(SC_33759)_HudsonAlpha,H1+AC0-hESC,NANOG,HudsonAlpha,None,NANOG+AF8-(SC+AC0-33759),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk,NA,NANOG_H1-hESC_NANOG_(SC-33759)_HudsonAlpha,0.952694,0.924929,0.864164,0.716296
NFATC1_GM12878_NFATC1_(SC_17834)_HudsonAlpha,GM12878,NFATC1,HudsonAlpha,None,NFATC1+AF8-(SC+AC0-17834),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk,NA,NFATC1_GM12878_NFATC1_(SC-17834)_HudsonAlpha,0.857942,0.791955,0.643776,0.517344
NFE2_K562_NF_E2_Yale,K562,NFE2,Yale,None,NF+AC0-E2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Nfe2UniPk,std,NFE2_K562_NF-E2_Yale,0.996803,0.99376,0.965876,0.91498
