,CNN-based model adadelta,CNN-based model adam,CNN-based model rmsprop,vConv-based model adadelta,vConv-based model adam,vConv-based model rmsprop
70,0.7095856620629117,0.6124845831620351,0.7173413037922642,0.7366081845353838,0.6639407104523383,0.6952966144068268
71,0.6540628229202546,0.4680052000577784,0.466849631662574,0.6041067122968033,0.6894409937888198,0.6077845309392327
72,0.6966744074934166,0.6546739408215647,0.7065078500872233,0.7228080312003468,0.6889409882332025,0.6058178424204713
73,0.7230524783608707,0.62998477760864,0.60201780019778,0.6163624040267114,0.6566961855131723,0.6621962466249625
74,0.5916843520483561,0.6796631073678596,0.6613851265014057,0.7407193413260147,0.6896521072456361,0.7141301570017444
75,0.6742408248980545,0.561684018711319,0.5953177257525084,0.7285080945343836,0.7101078900876676,0.600917787975422
76,0.5918176868631874,0.6475516394626607,0.47222746919410213,0.720985788730986,0.6854298381093124,0.7181524239158213
77,0.6722852476138623,0.6346292736585962,0.5924843609373437,0.603773375259725,0.6696629962555138,0.6950521672463027
78,0.6685740952677252,0.6018400204446717,0.6216513516816853,0.7490972121912467,0.5987733197035522,0.5723952488360982
79,0.5473727485860953,0.6595184390937677,0.5476505294503272,0.7411082345359393,0.6931965910732342,0.6307847864976278
80,0.6016289069878554,0.5547061634018156,0.6325403615595728,0.7367304081156456,0.6625962510694563,0.6329848109423438
81,0.515039055989511,0.6366292958810653,0.6459849553883933,0.6177179746441627,0.6530850342781587,0.6337737085967622
82,0.642762697363304,0.5133168146312737,0.5113945710507894,0.7386637629306994,0.5998399982222025,0.6494627718085757
83,0.6597517750197224,0.5339837109301214,0.5838287092078801,0.6912632362581808,0.6032289247658307,0.6190513227924754
84,0.6388182090912121,0.5890287669862999,0.5316059067322971,0.6807853420593563,0.6614295714396827,0.6810075667507417
85,0.6182846476071956,0.654073934154824,0.603684485383171,0.6141957132857031,0.6957410637895978,0.5987510972344137
86,0.6690407671196347,0.5097612195691064,0.45677174190824343,0.6172513027922533,0.6012511250125001,0.6618073534150379
87,0.6041733797042189,0.5919287992088801,0.6608184535383728,0.756808408982322,0.6437182635362615,0.6284069822998033
88,0.6226180290892122,0.6289625440282669,0.4504605606728964,0.6049511661240681,0.5834398159979555,0.6002400026666963
